FIGHTER1,FIGHTER2,WINNER,RATING1_BEFORE,RATING2_BEFORE,RATING1_AFTER,RATING2_AFTER,EVENT,DATE,TIME_FORMAT,ROUND,TIMESTAMP,FIGHTER1_OUTCOME,FIGHTER2_OUTCOME,TOTAL_TIME_MINUTES,TOTAL_TIME_SECONDS
Fatima Kline,Viktoriia Dudakova,Fatima Kline,1465.6168644889522,1508.255720902834,1516.1119068807354,1457.7606785110506,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),2,4:27,1,0,9.45,567.0
Nurullo Aliev,Joe Solecki,Nurullo Aliev,1524.172537502617,1575.4184226695,1575.7622075762058,1523.828752595911,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Marco Tulio,Ihor Potieria,Marco Tulio,1500.0,1437.793032536447,1537.0279345956667,1400.7650979407804,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,3 Rnd (5-5-5),1,3:04,1,0,3.066666666666667,184.0
Joel Alvarez,Drakkar Klose,Joel Alvarez,1660.399139031627,1736.8361458499285,1715.1425972214333,1682.0926876601222,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),1,2:48,1,0,2.8,168.0
Adrian Yanez,Daniel Marcos,Daniel Marcos,1622.3786077448449,1602.8891820292838,1601.2578814841652,1624.0099082899635,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Colby Covington,Joaquin Buckley,Joaquin Buckley,1843.247814493706,1755.8529148049804,1812.0886066572548,1787.0121226414317,UFC Fight Night: Covington vs. Buckley,2024-12-14,5 Rnd (5-5-5-5-5),3,4:42,0,1,14.7,882.0
Cub Swanson,Billy Quarantillo,Cub Swanson,1636.2810681745534,1558.54175027285,1671.3769730150198,1523.4458454323837,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,1:36,1,0,11.6,696.0
Vitor Petrino,Dustin Jacoby,Dustin Jacoby,1604.2766316843322,1558.0942910157755,1553.33005737359,1609.0408653265176,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,3:44,0,1,13.733333333333333,824.0
Navajo Stirling,Tuco Tokkos,Navajo Stirling,1500.0,1460.0,1539.8419529613936,1420.1580470386064,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Manel Kape,Bruno Silva,Manel Kape,1586.779583007763,1611.6411468740298,1634.9941781352636,1563.4265517465292,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,1:57,1,0,11.95,717.0
Davey Grant,Ramon Taveras,Davey Grant,1577.8945903429367,1520.0,1615.4647005481368,1482.4298897948,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Sean Woodson,Fernando Padilla,Sean Woodson,1641.3347247652578,1537.738292981299,1673.3008733593197,1505.7721443872372,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),1,4:58,1,0,4.966666666666667,298.0
Miranda Maverick,Jamey-Lyn Horth,Miranda Maverick,1641.7237684895968,1543.430953512895,1674.3219614894567,1510.832760513035,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Josefine Knutsson,Piera Rodriguez,Piera Rodriguez,1584.2039558783622,1517.2173298408138,1530.6337516702554,1570.7875340489206,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Michael Johnson,Ottman Azaitar,Michael Johnson,1558.9458122419107,1480.38623017781,1593.9406751381907,1445.39136728153,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),2,2:03,1,0,7.05,423.0
Miles Johns,Felipe Lima,Felipe Lima,1660.3313017296305,1549.5571269479763,1601.4509630775672,1608.4374656000396,UFC Fight Night: Covington vs. Buckley,2024-12-14,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Randy Brown,Bryan Battle,Bryan Battle,1781.6662895737595,1652.4435139621446,1754.5526621754002,1679.557141360504,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Alexandre Pantoja,Kai Asakura,Alexandre Pantoja,1779.4181390304336,1500.0,1792.7623404421454,1486.6557985882882,UFC 310: Pantoja vs. Asakura,2024-12-07,5 Rnd (5-5-5-5-5),2,2:05,1,0,7.083333333333333,425.0
Shavkat Rakhmonov,Ian Machado Garry,Shavkat Rakhmonov,1787.7361361016806,1579.5728061463499,1808.5963850330647,1558.7125572149657,UFC 310: Pantoja vs. Asakura,2024-12-07,5 Rnd (5-5-5-5-5),5,5:00,1,0,25.0,1500.0
Ciryl Gane,Alexander Volkov,Ciryl Gane,1836.839224220314,1830.3726457697605,1856.46702102005,1810.7448489700246,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Bryce Mitchell,Kron Gracie,Bryce Mitchell,1673.0302219610364,1461.1389865364208,1693.5485574060713,1440.620651091386,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),3,0:39,1,0,10.65,639.0
Nate Landwehr,Dooho Choi,Dooho Choi,1583.9538106698928,1530.2316924727354,1532.0506279142776,1582.1348752283507,UFC 310: Pantoja vs. Asakura,2024-12-07,3 Rnd (5-5-5),3,3:21,0,1,13.35,801.0
